ID,Title,Bids,Days Left to bid,Price,Type,Link,Category.1
0,Legal Audio Cleanup & Analysis,3,6,50.0,Hourly,https://www.freelancer.com/projects/audio-services/legal-audio-cleanup-analysis,Data Analysis
1,Legal Audio Cleanup & Analysis -- 2,5,6,16.0,Hourly,https://www.freelancer.com/projects/audio-services/legal-audio-cleanup-analysis-39393302,Data Analysis
2,Motion Graphics Video Editor for YouTube,24,6,20.0,Hourly,https://www.freelancer.com/projects/animation/motion-graphics-video-editor-for,UI/UX and Graphic Design
3,Audio Editor for Interviews,9,6,17.0,Hourly,https://www.freelancer.com/projects/audio-services/audio-editor-for-interviews,Web Development
4,Social Media Brand Awareness Campaign,27,6,9.0,Hourly,https://www.freelancer.com/projects/social-media-marketing/social-media-brand-awareness-campaign-39393266,Mobile Development
5,Film/TV Talent Agent Needed,3,6,6.0,Hourly,https://www.freelancer.com/projects/book-writing/film-talent-agent-needed,Artificial Intelligence
6,Nonprofit Financial Audit Specialist,10,6,69.0,Hourly,https://www.freelancer.com/projects/accounting/nonprofit-financial-audit-specialist,Mobile Development
7,Journalist/Editorial Assistant Needed,1,6,25.0,Hourly,https://www.freelancer.com/projects/investigative-journalism/journalist-editorial-assistant-needed-39393196,Software Engineering
8,Professional Virtual Assistant Services,25,6,17.0,Hourly,https://www.freelancer.com/projects/facebook-marketing/professional-virtual-assistant-services,Data Analysis
9,Credit Admin VA & Executive Support Needed,19,6,5.0,Hourly,https://www.freelancer.com/projects/virtual-assistant/credit-admin-executive-support-needed,Artificial Intelligence
11,Interior design consultation,52,6,34.0,Hourly,https://www.freelancer.com/projects/interior-design/interior-design-consultation-39393131,Other
12,Landscaping Business Website Creation,147,6,20.0,Hourly,https://www.freelancer.com/projects/website-design/landscaping-business-website-creation-39393130,Web Development
13,National Brand Social Media Strategist Needed,32,6,29.0,Hourly,https://www.freelancer.com/projects/social-media-marketing/national-brand-social-media-strategist,Networking
14,Copyright Audit for WordPress Images,35,6,16.0,Hourly,https://www.freelancer.com/projects/wordpress/copyright-audit-for-wordpress-images,Web Development
15,PHP LARAVEL FLUTTER EXPERIENCED DEVELOPER PERMANENT HOURLY,91,6,21.0,Hourly,https://www.freelancer.com/projects/php/php-laravel-flutter-experienced,Web Development
16,Financial Newsletter Research & Content Assistant,48,6,19.0,Hourly,https://www.freelancer.com/projects/articles/financial-newsletter-research-content,Mobile Development
17,Elegant Evening Mini Dresses,4,6,17.0,Hourly,https://www.freelancer.com/projects/fashion-design/elegant-evening-mini-dresses,Mobile Development
18,Cyclist Interview Videography,0,6,37.5,Hourly,https://www.freelancer.com/projects/video-production/cyclist-interview-videography,Software Engineering
19,Make small edits to photos,60,6,5.0,Hourly,https://www.freelancer.com/projects/photoshop/make-small-edits-photos,Other
20,Develop Advanced Web App with SAS,107,6,21.0,Hourly,https://www.freelancer.com/projects/php/develop-advanced-web-app-with,Web Development
21,Online Sales Boost Campaign,32,6,17.0,Hourly,https://www.freelancer.com/projects/advertising/online-sales-boost-campaign,Web Development
22,Advanced Excel & Financial Reporting Specialist,23,6,33.0,Hourly,https://www.freelancer.com/projects/accounting/advanced-excel-financial-reporting,Web Development
23,PDF Fillable Form Specialist,14,6,9.0,Hourly,https://www.freelancer.com/projects/pdf/pdf-fillable-form-specialist,Web Development
24,Portuguese Recording Project -- 67428,9,6,6.0,Hourly,https://www.freelancer.com/projects/translation/portuguese-recording-project-39392067,Networking
25,Comprehensive Digital Marketing Specialist,38,6,12.0,Hourly,https://www.freelancer.com/projects/facebook-marketing/comprehensive-digital-marketing-39392953,Web Development
26,Bilingual Medical Transcriptionist Needed,17,6,7.0,Hourly,https://www.freelancer.com/projects/transcription/bilingual-medical-transcriptionist,Web Development
27,In addition in Odoo Development,30,6,15.0,Hourly,https://www.freelancer.com/projects/python/desarrollo-adenda-odoo,Artificial Intelligence
28,Custom showcase site development - 05/09/2025 16:13 EDT,56,6,19.0,Hourly,https://www.freelancer.com/projects/graphic-design/veloppement-site-vitrine-sur-mesure,Web Development
29,Affiliate Marketing Website Setup,48,6,22.0,Hourly,https://www.freelancer.com/projects/internet-marketing/affiliate-marketing-website-setup,Web Development
30,Literature Translation: English to Spanish,89,6,18.0,Hourly,https://www.freelancer.com/projects/translation/literature-translation-english-spanish-39392937,Other
31,Minimalist Black and White Logo,15,6,2.0,Hourly,https://www.freelancer.com/projects/logo-design/minimalist-black-white-logo-39392932,UI/UX and Graphic Design
32,Contract Review for CEU Project,31,6,19.0,Hourly,https://www.freelancer.com/projects/legal/contract-review-for-ceu-project,Artificial Intelligence
33,"Update - Business Marketing (Cold Calling, Telemarketing & Business Development)",14,6,20.0,Hourly,https://www.freelancer.com/projects/telemarketing/update-business-marketing-cold-calling,Artificial Intelligence
34,Restore Disabled Meta Ad Account,15,6,34.0,Hourly,https://www.freelancer.com/projects/customer-support/restore-disabled-meta-account,Web Development
35,Link Work Email to Gmail,29,6,12.0,Hourly,https://www.freelancer.com/projects/email-handling/link-work-email-gmail,Artificial Intelligence
36,Entry-Level Property Manager Needed,24,6,30.0,Hourly,https://www.freelancer.com/projects/project-management/entry-level-property-manager-needed,Artificial Intelligence
37,Entry-Level Recruiter Needed,6,6,40.0,Hourly,https://www.freelancer.com/projects/human-resources/entry-level-recruiter-needed-39392843,Networking
38,Wolf Moon Empowerment Design,101,6,20.0,Hourly,https://www.freelancer.com/projects/graphic-design/wolf-moon-empowerment-design,UI/UX and Graphic Design
39,Entry-Level Recruiter Needed,7,6,29.0,Hourly,https://www.freelancer.com/projects/linkedin-recruiting/entry-level-recruiter-needed,Data Analysis
40,Instagram Content Writer for Tech Niche,34,6,12.0,Hourly,https://www.freelancer.com/projects/content-writing/instagram-content-writer-for-tech,Web Development
41,Talent Acquisition Assistant Needed,4,6,33.0,Hourly,https://www.freelancer.com/projects/human-resources/talent-acquisition-assistant-needed-39392830,Web Development
42,Talent Acquisition Assistant Needed,4,6,36.0,Hourly,https://www.freelancer.com/projects/human-resources/talent-acquisition-assistant-needed,Mobile Development
43,Meticulous Data Entry Associate Needed,24,6,11.0,Hourly,https://www.freelancer.com/projects/data-entry/meticulous-data-entry-associate-needed,Data Analysis
44,Entry-Level HR Assistant Needed,4,6,33.0,Hourly,https://www.freelancer.com/projects/human-resources/entry-level-assistant-needed-39392815,Artificial Intelligence
45,Solar Sales Call Center Specialist,18,6,11.0,Hourly,https://www.freelancer.com/projects/telemarketing/solar-sales-call-center-specialist,Web Development
46,Solar Leads Media Buyer,22,6,7.0,Hourly,https://www.freelancer.com/projects/advertising/solar-leads-media-buyer,Mobile Development
47,Real Estate Transaction Coordinator and Property Management Support Needed,12,6,10.0,Hourly,https://www.freelancer.com/projects/accounting/real-estate-transaction-coordinator,Data Science
48,E-commerce Branding Specialist,33,6,53.0,Hourly,https://www.freelancer.com/projects/legal/commerce-branding-specialist,Web Development
49,AI Password Strength Checker Tool,16,6,10.0,Hourly,https://www.freelancer.com/projects/html/password-strength-checker-tool,Web Development
